form	categorical_judgment
a a a a a a a c a c c d d a d d a a c a	grammatical
a a b a a b b a b a a d d d d b d a a d	grammatical
a a c a d c a c b b b d a a b d d b b b	grammatical
a a d b c b a d c b d d c b a a b d d b	grammatical
a b a d a a b c c d a d b d b c c d a c	grammatical
a b b d d d d d d a c b a d b a d d c a	grammatical
a b d a d d b a a c c a b c c c d b c b	grammatical
a c a c a b d b c c b c b a c a c c a c	grammatical
a c c a c b a d a c a d a c a c d c d b	grammatical
a c d b b c c a c c d d b b a d b c c b	grammatical
a d a c b a c b c a d c b a b d b b b c	grammatical
a d b d a a d d c a d b a c d a b b c d	grammatical
a d d a c c c c a d c b d a a c d d b b	grammatical
b a a b b d b c d a b d a c b b d c d a	grammatical
b a b c d b d d c d d a c c b c b a c c	grammatical
b a c d c d d a b c c c c c b a d d d c	grammatical
b b a b a d c b c a b b c b c b d c b a	grammatical
b b b c c c b a a a d a b d b d d a b d	grammatical
b b c d d a d b c b c a a b d c a c a c	grammatical
b c a b b d a b d c d a b c b b c a b b	grammatical
b c b c c b d c a b d d a a d c a b a b	grammatical
b c c d a d b b c b d d d b d a a d b a	grammatical
b d a a d c d c b c d b b c c b d c a d	grammatical
b d b a d d a c c d a c c a b a d a d d	grammatical
b d c c b d b c c d c c d d d d b c a a	grammatical
b d d d c b d c b a d c b c d c b b c c	grammatical
c a b a a a a b c b b d b a b b c a c a	grammatical
c a c b a b b d b c a b c a a d a d d c	grammatical
c a d b c c c a b c a a b a b a a b a a	grammatical
c b a c c c d c b a a b d d b d c a d c	grammatical
c b b d c d c b b b b b c a c c d a c b	grammatical
c b d b a c b b a d b b a a b a d a a a	grammatical
c c a b d c b b d a d a c a b c d c d c	grammatical
c c b d c b c c a b b d b a c c d b c d	grammatical
c c d a c b d b b d d d d d b d c a c b	grammatical
c d a c a d b b d d c b b a d d c b c a	grammatical
c d c a b a b b a c b b c c a d d d a d	grammatical
c d d b c d d d b b a d c c d a b c a a	grammatical
d a a d b b a a c b a d a a c d b d c b	grammatical
