tokcount,typc
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
na,na
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
24.0,15
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
177.0,8
