word	score	*[+continuant,+voice,-anterior]	*[+sonorant,+dorsal]	*[-word_boundary][+continuant]	*[-word_boundary][+voice]	*[-continuant][-approximant]	*[+voice][-approximant]	*[-strident][+consonantal]	*[+sonorant][+consonantal]	*[+sonorant][+coronal]	*[-word_boundary][+strident]	*[+sonorant][+labial]	*[+labial][-approximant]	*[+approximant][-word_boundary]	*[+voice,-anterior][-word_boundary]	*[-continuant,-anterior][-word_boundary]	*[-voice,+strident][-back]	*[+continuant,+voice,+coronal][-anterior]	*[+continuant,-strident][-back]	*[+spread][+consonantal]	*[+continuant,+voice,+coronal]	*[+voice][+labial]	*[+labial][+labial]	*[-anterior][-word_boundary]	*[+continuant,+voice][-word_boundary]	*[+sonorant,+coronal][-word_boundary]	*[+anterior,+strident][-anterior]	*[+continuant,-strident][+labial]	*[-anterior][+dorsal]	*[+coronal][-back]	*[+spread][+coronal]	*[+voice,+dorsal][-back]	*[+continuant,-strident]	*[+labial][+high]	*[-back]	*[+continuant,-anterior]	*[-continuant,-voice,-anterior]	*[-strident][+labial]	*[-anterior][+consonantal]	*[-anterior][+high]	*[-anterior][-sonorant]	*[-word_boundary][+nasal,+labial]	*[+voice,-anterior]	*[+continuant,+voice][-anterior]	*[-word_boundary][+spread]	*[+continuant,+voice,+labial]	*[-word_boundary][+nasal,+coronal]	*[+continuant,+voice][+consonantal]	*[-sonorant,+labial][+labial]	*[+continuant,+voice][+coronal]	*[+spread][+labial]	*[+continuant,+coronal][-back]	*[+voice,+dorsal][+word_boundary]	*[+sonorant,+labial][+labial]	*[-voice,+labial][+labial]	*[-voice,+coronal][-back]	*[+continuant,+labial][+labial]	*[-continuant,+voice][-back]	*[-continuant,-voice,+labial][+labial]	*[+voice,+dorsal][+consonantal]	*[-anterior][-sonorant,+labial]	*[+nasal,+coronal]	*[-continuant][-sonorant]	*[-continuant][-approximant,+labial]	*[+strident][-anterior]	*[+voice,+coronal][+consonantal]	*[-anterior][+coronal,+consonantal]	*[-word_boundary][+continuant,+labial]	*[+back]	*[-word_boundary][+continuant,+coronal]	*[+voice,+dorsal][+labial]	*[+dorsal][-approximant]	*[+continuant,+voice,+labial][+coronal]	*[-continuant][+dorsal]	*[-anterior][-sonorant,+coronal]	*[-anterior][+labial]	*[+voice,+labial][+consonantal]	*[+voice,+coronal][+labial]	*[-continuant,-voice][+consonantal]	*[+sonorant][-word_boundary]	*[+voice,+coronal][+coronal]	*[+anterior,+strident][+approximant,+coronal]	*[+continuant,+labial][-anterior]	*[-continuant,+labial][+labial]	*[+continuant,+voice][+labial]	*[+voice,+strident][+coronal]	*[+spread][+word_boundary]	*[+sonorant,+coronal][+labial]	*[+continuant,-voice,+labial]	*[-word_boundary][-approximant,+labial]	*[-word_boundary][+dorsal]	*[-continuant,+coronal][+labial]	*[+continuant,+labial][+consonantal]	*[-continuant,-voice,+anterior]	*[+voice][+coronal]	*[+word_boundary][+sonorant,+anterior]	*[-anterior][-approximant,+labial]	*[-sonorant][-back]	*[+continuant][-anterior]	*[+strident][+high]	*[+dorsal][-anterior]	*[-continuant,+voice][+labial]	*[+dorsal][+labial]	*[-continuant,+voice,+labial]	*[+anterior][+sonorant,+anterior]	*[+word_boundary][-back]	*[+continuant,-voice][-anterior]	*[+voice,+strident][+labial]	*[+continuant][-consonantal]	*[+continuant,+voice,+strident]	*[+continuant,+labial][-consonantal]	*[+continuant,+voice,-strident]	*[-continuant,+labial][+high]	*[+dorsal][-back]	*[+sonorant,+labial][-word_boundary]	*[-sonorant,+coronal][-back]	*[+continuant,+anterior][-anterior]	*[-word_boundary][-back]	*[+continuant,-strident][+high]	*[+continuant,+voice,+anterior]	*[+spread][-word_boundary]	*[+voice,+anterior,+strident]	*[+continuant,+voice][-consonantal]	*[+continuant,+voice][+high]	*[+voice,+labial][+high]	*[-voice,+labial][+high]	*[-anterior][+lateral]	*[-strident][-back]	*[+continuant,+labial][+high]	*[-anterior][+continuant]	*[+continuant,-voice,-strident]	*[-continuant][-back]	*[+continuant,-voice,+labial][-anterior]	*[-voice][-back]	*[+voice,+dorsal][+high]	*[+coronal][+lateral]	*[-word_boundary][-approximant,+coronal]	*[+continuant,-voice,-anterior]	*[-voice][-anterior]	*[+voice][+consonantal]	*[+continuant][-back]	*[+strident][+sonorant]	*[+strident][-consonantal]	*[+voice,+labial][-anterior]	*[-continuant,+voice][+consonantal]	*[-anterior][-anterior]	*[+voice,+coronal][-word_boundary]	*[+voice,+coronal][-anterior]	*[+continuant,+coronal][+high]	*[+voice,+dorsal]	*[-voice,+anterior][-anterior]	*[+labial][-anterior]	*[+continuant,-strident][-word_boundary]	*[-continuant,-voice][+labial]	*[+anterior][-approximant,+labial]	*[+continuant,-anterior][+word_boundary]	*[-anterior][-approximant]	*[-voice,+labial][-anterior]	*[+coronal][+sonorant,+consonantal]	*[-continuant,-voice,+coronal]	*[+word_boundary][+high]	*[+word_boundary][-continuant,-voice,+coronal]	*[-voice,+strident][-consonantal]	*[+word_boundary][+continuant,-strident]	*[+word_boundary][+nasal]	*[+dorsal][+consonantal]	*[-continuant,+labial]	*[-sonorant,+labial]	*[+voice,+coronal]	*[-approximant,-anterior]	*[+voice,+anterior]	*[-continuant,+voice]	*[+continuant,+voice]	*[-approximant,+coronal]	*[-anterior]	*[+voice,+strident]	*[+continuant,+anterior]	*[+dorsal]	*[+voice]	*[-strident]	*[-consonantal]	*[+sonorant]	*[-continuant,+coronal]	*[-sonorant,+anterior]	*[+approximant]	*[+continuant,-voice]	*[+coronal]	*[+coronal,+consonantal]	*[-sonorant,+coronal]	*[+anterior,-strident]	*[+sonorant,+consonantal]	*[-continuant,+voice,+coronal]	*[+approximant,+coronal]	*[-continuant,-voice]	*[+voice,+labial]	*[-continuant,-anterior]	*[+voice,-strident]	*[+continuant]	*[+spread]	*[-continuant,+voice,+anterior]	*[+nasal,+labial]	*[+sonorant,+coronal]	*[-continuant,+voice,-anterior]	*[+anterior,+strident]	*[+approximant,-anterior]	*[+high]	*[-continuant][+coronal]	*[-word_boundary][-approximant]	*[+voice][+word_boundary]	*[+voice][-word_boundary]	*[-voice,+dorsal]	*[+continuant,+coronal][+word_boundary]	*[+word_boundary][+sonorant]	*[-continuant,-voice,+labial]	*[+word_boundary][-continuant]	*[-continuant][+word_boundary]	*[-continuant][-word_boundary]	*[+labial][+consonantal]	*[-word_boundary][-anterior]	*[-continuant][+labial]	*[+voice][-anterior]	*[-word_boundary][-sonorant]	*[+continuant][+sonorant]	*[-continuant][+consonantal]	*[-continuant][-anterior]	*[-word_boundary][-sonorant,+coronal]	*[+word_boundary][-continuant,-voice]	*[-continuant,+voice][+word_boundary]	*[+word_boundary][+approximant]	*[+nasal]	*[-continuant,+voice][-anterior]	*[-anterior][+coronal]	*[-word_boundary][+labial]	*[-voice][+sonorant,+consonantal]	*[-sonorant,+labial][+word_boundary]	*[+labial][-word_boundary]	*[-continuant]	*[+word_boundary][+dorsal]	*[-voice,-strident]	*[-voice,-anterior]	*[-continuant,-voice][+coronal]	*[+continuant][+consonantal]	*[-word_boundary][-continuant]	*[-continuant,-voice][+word_boundary]	*[-continuant,+voice][-word_boundary]	*[-continuant,-voice][-word_boundary]	*[+voice,+coronal][+word_boundary]	*[-approximant,+labial][+word_boundary]	*[+word_boundary][+sonorant,+coronal]	*[-word_boundary][+approximant]	*[-word_boundary][-consonantal]	*[+lateral]	*[+word_boundary][-consonantal]	*[+word_boundary][-sonorant,+labial]	*[+continuant,+anterior][+word_boundary]	*[-word_boundary][+nasal]	*[+labial][-consonantal]	*[-anterior][+sonorant]	*[+dorsal][+word_boundary]	*[+word_boundary][+sonorant,+consonantal]	*[+word_boundary][-continuant,+coronal]	*[+labial][+word_boundary]	*[-word_boundary][+sonorant]	*[+dorsal][-word_boundary]	*[+dorsal][+coronal]	*[+word_boundary][-anterior]	*[+voice,+anterior][+word_boundary]	*[+word_boundary][-continuant,+labial]	*[+continuant,+voice][+word_boundary]	*[+word_boundary][+sonorant,+labial]	*[-strident][-word_boundary]	*[+word_boundary][-voice,-strident]	*[-word_boundary][+high]	*[-continuant,+labial][+word_boundary]	*[+labial][+coronal]	*[+coronal][+consonantal]	*[-word_boundary][+sonorant,+consonantal]	*[+continuant,-voice][-consonantal]	*[+dorsal][+approximant]	*[-continuant,+labial][-word_boundary]	*[+dorsal][-consonantal]	*[-sonorant][+word_boundary]	*[+sonorant][+word_boundary]	*[+sonorant,+anterior]	*[+sonorant,+labial]	*[-strident][+coronal]	*[+nasal][+word_boundary]	*[-anterior][+word_boundary]	*[-continuant][+high]	*[+dorsal][+approximant,+coronal]	*[+word_boundary][-voice,+dorsal]	*[+word_boundary][+approximant,-anterior]	*[+sonorant][-back]	*[+word_boundary][+lateral]	*[+word_boundary][+nasal,+coronal]	*[+labial][-back]	*[+sonorant,+coronal][-back]	*[+sonorant,+labial][-back]	*[-continuant,-voice][-back]	*[-voice,+dorsal][+word_boundary]	*[+word_boundary][-continuant,-voice,+labial]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	1.35	2.641	2.008	2.726	1.454	1.01	2.312	1.352	2.864	1.054	1.187	2.269	2.565	0.849	1.198	0.978	0.8	0.818	2.251	0.724	0.63	1.176	0.631	0.864	1.156	1.986	1.141	1.35	0.513	3.17	1.038	0.518	0.334	1.289	0.56	1.096	0.968	1.017	1.228	1.257	0.591	1.048	0.899	1.963	0.883	0.615	0.803	1.003	0.83	0.463	0.636	1.196	0.964	1.082	0.656	1.089	1.321	0.823	0.984	0.926	0.284	1.172	0.881	1.118	0.806	0.929	0.588	0.975	1.037	0.812	1.249	1.009	0.994	0.56	0.695	0.614	0.688	1.236	2.887	0.8	1.252	0.039	0.704	0.677	0.653	1.008	0.783	0.964	0.591	1.699	0.637	1.006	0.708	0.255	0.267	0.313	0.968	0.466	0.874	0.647	0.743	0.818	0.771	0.472	1.53	0.358	0.638	0.468	0.643	0.393	0.871	0.778	1.11	1.089	0.705	0.773	0.549	1.127	0.164	3.203	0.084	0.851	0.743	1.013	0.91	1.473	0.69	1.144	0.799	0.438	1.205	0	0.367	1.059	1.571	0.94	0	0.169	0.823	0.554	0.303	1.187	1.034	0.81	0	0.82	0.861	1.193	0.873	0	0.755	1.01	0.601	0.69	1.217	0.335	0.001	0.813	1.014	1.406	1.631	1.656	0.52	1.429	0.927	0.575	0.842	0.475	0.564	0.217	0.605	0.816	0.038	0.451	0.342	0.267	2.262	0.631	0.224	1.36	2.081	0.765	0.238	1.422	2.908	0.21	0.097	0.152	0.045	1.512	0.542	0.74	0.357	0.864	0.795	0.924	2.934	3.421	0.843	0.105	0.233	0.489	0.54	0.677	1.473	0.187	2.822	0.635	0.786	0.329	1.331	1.276	0.595	0	0.388	0.574	1.319	1.269	0.554	0.319	2.802	0.141	1.256	0.022	1.115	1.466	0.683	0.637	1.449	0.211	0.104	0.899	0.627	1.103	0.828	0.396	1.353	0.356	0.306	0.762	2.049	1.584	0.496	0.713	0.652	0.445	0.317	0	1.575	1.321	0.853	0.829	0.842	0.905	0.81	0.299	0.164	2.011	1.237	0.687	0.304	1.595	1.041	0.532	0.002	0.246	0.374	0.743	0.18	0.698	0.991	0.858	0.655	0.665	0.809	1.065	0.407	0.583	0.71	0.905	1.596	0.027	0.346	0.29	0.326	1.127	0.611	0.878	0.325	0.367	0.214	0.371	0.598	0.459	0	0.598	0	0.674	0	1.048	annotation
B L 	27.464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	attested
B L 	27.464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	attested
B R 	27.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	attested
B R 	27.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	attested
B W 	31.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	marginal
B W 	31.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	marginal
D G 	45.035	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	1	2	1	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unattested
D G 	45.035	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	1	2	1	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unattested
